sentence_id	target_word_id	target_hanzi	sentence_slot	sentence_hanzi	sentence_pinyin	sentence_vi	words	word_ids	blank_sentence	blank_answer_hanzi	blank_answer_word_id	blank_options_word_ids	grammar_ids	level	lesson_id	lesson_order	max_word_lesson_order	topic_id	audio_url	difficulty	tags	is_active	validation_status	scope_rule	note
s0001_1	w0001	我	1	我很好。	wǒ hěn hǎo	Tôi rất tốt.	我|很|好	w0001|w0020|w0002	___很好。	我	w0001			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0001_2	w0001	我	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0001_3	w0001	我	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0002_1	w0002	好	1	我很好。	wǒ hěn hǎo	Tôi rất tốt.	我|很|好	w0001|w0020|w0002	我很___。	好	w0002			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0002_2	w0002	好	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0002_3	w0002	好	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0003_1	w0003	大	1	马很大。	mǎ hěn dà	Con ngựa rất lớn.	马|很|大	w0008|w0020|w0003	马很___。	大	w0003			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0003_2	w0003	大	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0003_3	w0003	大	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0004_1	w0004	不	1	汉语不难。	Hànyǔ bù nán	Tiếng Hán không khó.	汉语|不|难	w0021|w0004|w0022	汉语___难。	不	w0004			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0004_2	w0004	不	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0004_3	w0004	不	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0005_1	w0005	口	1	口不大。	kǒu bù dà	Miệng không lớn.	口|不|大	w0005|w0004|w0003	___不大。	口	w0005			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0005_2	w0005	口	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0005_3	w0005	口	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0006_1	w0006	白	1	白马很大。	bái mǎ hěn dà	Con ngựa trắng rất lớn.	白|马|很|大	w0006|w0008|w0020|w0003	___马很大。	白	w0006			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0006_2	w0006	白	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0006_3	w0006	白	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0007_1	w0007	女	1	女的在学校。	nǚ de zài xuéxiào	Người nữ ở trường học.	女|的|在|学|校	w0007	___的在学校。	女	w0007			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0007_2	w0007	女	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0007_3	w0007	女	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0008_1	w0008	马	1	我有马。	wǒ yǒu mǎ	Tôi có ngựa.	我|有|马	w0001|w0008	我有___。	马	w0008			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0008_2	w0008	马	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0008_3	w0008	马	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0009_1	w0009	一	1	一个口。	yī gè kǒu	Một cái miệng.	一|个|口	w0009|w0005	___个口。	一	w0009			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0009_2	w0009	一	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0009_3	w0009	一	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0010_1	w0010	二	1	二月二号。	èr yuè èr hào	Ngày 2 tháng 2.	二|月|二|号	w0010	___月二号。	二	w0010			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0010_2	w0010	二	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0010_3	w0010	二	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0011_1	w0011	三	1	三月三号。	sān yuè sān hào	Ngày 3 tháng 3.	三|月|三|号	w0011	___月三号。	三	w0011			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0011_2	w0011	三	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0011_3	w0011	三	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0012_1	w0012	四	1	四月四号。	sì yuè sì hào	Ngày 4 tháng 4.	四|月|四|号	w0012	___月四号。	四	w0012			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0012_2	w0012	四	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0012_3	w0012	四	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0013_1	w0013	五	1	五月五号。	wǔ yuè wǔ hào	Ngày 5 tháng 5.	五|月|五|号	w0013	___月五号。	五	w0013			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0013_2	w0013	五	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0013_3	w0013	五	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0014_1	w0014	六	1	六月六号。	liù yuè liù hào	Ngày 6 tháng 6.	六|月|六|号	w0014	___月六号。	六	w0014			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0014_2	w0014	六	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0014_3	w0014	六	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0015_1	w0015	七	1	七月七号。	qī yuè qī hào	Ngày 7 tháng 7.	七|月|七|号	w0015	___月七号。	七	w0015			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0015_2	w0015	七	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0015_3	w0015	七	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0016_1	w0016	八	1	八月八号。	bā yuè bā hào	Ngày 8 tháng 8.	八|月|八|号	w0016	___月八号。	八	w0016			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0016_2	w0016	八	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0016_3	w0016	八	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0017_1	w0017	九	1	九月九号。	jiǔ yuè jiǔ hào	Ngày 9 tháng 9.	九|月|九|号	w0017	___月九号。	九	w0017			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0017_2	w0017	九	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0017_3	w0017	九	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0018_1	w0018	十	1	十月十号。	shí yuè shí hào	Ngày 10 tháng 10.	十|月|十|号	w0018	___月十号。	十	w0018			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0018_2	w0018	十	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0018_3	w0018	十	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0019_1	w0019	忙	1	我很忙。	wǒ hěn máng	Tôi rất bận.	我|很|忙	w0001|w0020|w0019	我很___。	忙	w0019			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0019_2	w0019	忙	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0019_3	w0019	忙	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0020_1	w0020	很	1	汉语很难。	Hànyǔ hěn nán	Tiếng Hán rất khó.	汉语|很|难	w0021|w0020|w0022	汉语___难。	很	w0020			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0020_2	w0020	很	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0020_3	w0020	很	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0021_1	w0021	汉语	1	我学汉语。	wǒ xué Hànyǔ	Tôi học tiếng Hán.	我|学|汉语	w0001|w0021	我学___。	汉语	w0021			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0021_2	w0021	汉语	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0021_3	w0021	汉语	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0022_1	w0022	难	1	汉语难。	Hànyǔ nán	Tiếng Hán khó.	汉语|难	w0021|w0022	汉语___。	难	w0022			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0022_2	w0022	难	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0022_3	w0022	难	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0023_1	w0023	太	1	太难吗？	tài nán ma	Quá khó không?	太|难|吗	w0023|w0022|w0024	___难吗？	太	w0023			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0023_2	w0023	太	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0023_3	w0023	太	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0024_1	w0024	吗	1	你好吗？	nǐ hǎo ma	Bạn khỏe/tốt không?	你|好|吗	w0002|w0024	你好___？	吗	w0024			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0024_2	w0024	吗	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0024_3	w0024	吗	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0025_1	w0025	他	1	他很忙。	tā hěn máng	Anh ấy rất bận.	他|很|忙	w0025|w0020|w0019	___很忙。	他	w0025			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0025_2	w0025	他	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0025_3	w0025	他	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0026_1	w0026	她	1	她很好。	tā hěn hǎo	Cô ấy rất tốt.	她|很|好	w0026|w0020|w0002	___很好。	她	w0026			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0026_2	w0026	她	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0026_3	w0026	她	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0027_1	w0027	它	1	它很大。	tā hěn dà	Nó rất lớn.	它|很|大	w0027|w0020|w0003	___很大。	它	w0027			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0027_2	w0027	它	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0027_3	w0027	它	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0028_1	w0028	哥哥	1	哥哥学汉语。	gēge xué Hànyǔ	Anh trai học tiếng Hán.	哥哥|学|汉语	w0028|w0021	___学汉语。	哥哥	w0028			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0028_2	w0028	哥哥	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0028_3	w0028	哥哥	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0029_1	w0029	妹妹	1	妹妹学英语。	mèimei xué Yīngyǔ	Em gái học tiếng Anh.	妹妹|学|英|语	w0029	___学英语。	妹妹	w0029			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0029_2	w0029	妹妹	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0029_3	w0029	妹妹	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0030_1	w0030	姐姐	1	姐姐学日语。	jiějie xué Rìyǔ	Chị gái học tiếng Nhật.	姐姐|学|日|语	w0030	___学日语。	姐姐	w0030			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0030_2	w0030	姐姐	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0030_3	w0030	姐姐	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0031_1	w0031	爸爸	1	爸爸去银行。	bàba qù yínháng	Bố đi ngân hàng.	爸爸|去|银行	w0031|w0042|w0052	___去银行。	爸爸	w0031			HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_2	auto_from_vocab_example
s0031_2	w0031	爸爸	2											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0031_3	w0031	爸爸	3											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0032_1	w0032	弟弟	1	弟弟去学校。	dìdi qù xuéxiào	Em trai đi trường học.	弟弟|去|学|校	w0032|w0042|w0033	___去学校。	弟弟	w0032			HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_2	auto_from_vocab_example
s0032_2	w0032	弟弟	2											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0032_3	w0032	弟弟	3											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0033_1	w0033	学	1	我学汉语。	wǒ xué Hànyǔ	Tôi học tiếng Hán.	我|学|汉语	w0001|w0033|w0021	我___汉语。	学	w0033			HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_2	auto_from_vocab_example
s0033_2	w0033	学	2											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0033_3	w0033	学	3											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0034_1	w0034	英语	1	我学英语。	wǒ xué Yīngyǔ	Tôi học tiếng Anh.	我|学|英语	w0001|w0033|w0034	我学___。	英语	w0034			HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_2	auto_from_vocab_example
s0034_2	w0034	英语	2											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0034_3	w0034	英语	3											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
s0035_1	w0035	阿拉伯语	1	他学阿拉伯语。	tā xué Ālābóyǔ	Anh ấy học tiếng Ả Rập.	他|学|阿拉伯语	w0025|w0033|w0035	他学___。	阿拉伯语	w0035			HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_2	auto_from_vocab_example
s0035_2	w0035	阿拉伯语	2											HSK1	lesson-2	2	2			1	Nhóm 2|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_2	can_bo_sung_cau_chua_tu_vung_nay
